Property PK	Property Name	Operator GL PK	Operator Account Code	Operator Account Name	Primary GL PK	Primary Account Code	Primary Account Name	Month	Actual
1833	Oaks at Greenview, The	11323	1657-15	Carpet - Clubroom	11323	1657-15	Carpet - Clubroom	2017-07-01	
1833	Oaks at Greenview, The	11324	1657-42	Interior Upgrades - Model	11324	1657-42	Interior Upgrades - Model	2017-05-01	0.00
1833	Oaks at Greenview, The	11324	1657-42	Interior Upgrades - Model	11324	1657-42	Interior Upgrades - Model	2017-06-01	0.00
1833	Oaks at Greenview, The	11324	1657-42	Interior Upgrades - Model	11324	1657-42	Interior Upgrades - Model	2017-07-01	
1833	Oaks at Greenview, The	11325	1657-43	Furnishings - Model	11325	1657-43	Furnishings - Model	2017-05-01	0.00
1833	Oaks at Greenview, The	11325	1657-43	Furnishings - Model	11325	1657-43	Furnishings - Model	2017-06-01	0.00
1833	Oaks at Greenview, The	11325	1657-43	Furnishings - Model	11325	1657-43	Furnishings - Model	2017-07-01	
1833	Oaks at Greenview, The	11440	1657-01	Exterior Upgrades - Office	11440	1657-01	Exterior Upgrades - Office	2017-05-01	0.00
1833	Oaks at Greenview, The	11440	1657-01	Exterior Upgrades - Office	11440	1657-01	Exterior Upgrades - Office	2017-06-01	0.00
1833	Oaks at Greenview, The	11440	1657-01	Exterior Upgrades - Office	11440	1657-01	Exterior Upgrades - Office	2017-07-01	
1833	Oaks at Greenview, The	11441	1657-29	Other - Fit Ctr	11441	1657-29	Other - Fit Ctr	2017-05-01	0.00
1833	Oaks at Greenview, The	11441	1657-29	Other - Fit Ctr	11441	1657-29	Other - Fit Ctr	2017-06-01	0.00
1833	Oaks at Greenview, The	11441	1657-29	Other - Fit Ctr	11441	1657-29	Other - Fit Ctr	2017-07-01	
1833	Oaks at Greenview, The	11598	1654-06	Masonry- Ext	11598	1654-06	Masonry- Ext	2017-05-01	0.00
1833	Oaks at Greenview, The	11598	1654-06	Masonry- Ext	11598	1654-06	Masonry- Ext	2017-06-01	0.00
1833	Oaks at Greenview, The	11598	1654-06	Masonry- Ext	11598	1654-06	Masonry- Ext	2017-07-01	
1833	Oaks at Greenview, The	11600	1655-08	Stair/Rail - Int	11600	1655-08	Stair/Rail - Int	2017-05-01	0.00
1833	Oaks at Greenview, The	11600	1655-08	Stair/Rail - Int	11600	1655-08	Stair/Rail - Int	2017-06-01	0.00
1833	Oaks at Greenview, The	11600	1655-08	Stair/Rail - Int	11600	1655-08	Stair/Rail - Int	2017-07-01	
1833	Oaks at Greenview, The	11796	1652-55	Volleyball Court - Site	11796	1652-55	Volleyball Court - Site	2017-05-01	0.00
1833	Oaks at Greenview, The	11796	1652-55	Volleyball Court - Site	11796	1652-55	Volleyball Court - Site	2017-06-01	0.00
1833	Oaks at Greenview, The	11796	1652-55	Volleyball Court - Site	11796	1652-55	Volleyball Court - Site	2017-07-01	
1833	Oaks at Greenview, The	11797	1659-09	Consulting Fees - Misc	11797	1659-09	Consulting Fees - Misc	2017-05-01	0.00
1833	Oaks at Greenview, The	11797	1659-09	Consulting Fees - Misc	11797	1659-09	Consulting Fees - Misc	2017-06-01	0.00
1833	Oaks at Greenview, The	11797	1659-09	Consulting Fees - Misc	11797	1659-09	Consulting Fees - Misc	2017-07-01	
1833	Oaks at Greenview, The	12644	1659-03	Elevators - Misc	12644	1659-03	Elevators - Misc	2017-05-01	0.00
1833	Oaks at Greenview, The	12644	1659-03	Elevators - Misc	12644	1659-03	Elevators - Misc	2017-06-01	0.00
1833	Oaks at Greenview, The	12644	1659-03	Elevators - Misc	12644	1659-03	Elevators - Misc	2017-07-01	
1833	Oaks at Greenview, The	12646	1659-04	Fire/Security System - Misc	12646	1659-04	Fire/Security System - Misc	2017-05-01	0.00
1833	Oaks at Greenview, The	12646	1659-04	Fire/Security System - Misc	12646	1659-04	Fire/Security System - Misc	2017-06-01	0.00
1833	Oaks at Greenview, The	12646	1659-04	Fire/Security System - Misc	12646	1659-04	Fire/Security System - Misc	2017-07-01	
1833	Oaks at Greenview, The	12649	1659-05	Lead Paint Compliance - Misc	12649	1659-05	Lead Paint Compliance - Misc	2017-05-01	0.00
